"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"154";"Plabennec";"29160";"29";"53";8276;5050;48,4969000468776;-4,41949767664991
"155";"Pleuven";"29161";"29";"53";2728;1355;47,9126715722504;-4,04662481323145
"156";"Pleyben";"29162";"29";"53";3710;7600;48,2458238797392;-3,96509356390402
"157";"Pleyber-Christ";"29163";"29";"53";3083;4566;48,5060253849237;-3,87324308004764
"158";"Plobannalec-Lesconil";"29165";"29";"53";3413;1882;47,8191279683084;-4,22434060346662
"159";"Ploéven";"29166";"29";"53";531;1305;48,1558301999006;-4,21769173150185
"160";"Plogastel-Saint-Germain";"29167";"29";"53";1866;3150;47,9735477786132;-4,25997163771339
"161";"Plogoff";"29168";"29";"53";1245;1226;48,0342392569339;-4,70051544978596
"162";"Plogonnec";"29169";"29";"53";3057;5380;48,0680399127867;-4,16897357714969
"163";"Plomelin";"29170";"29";"53";4168;2632;47,9313195060264;-4,14890402826821
"164";"Plomeur";"29171";"29";"53";3797;2968;47,8360310049042;-4,29355020114062
"165";"Plomodiern";"29172";"29";"53";2148;4673;48,1759058217131;-4,21682284688859
"166";"Plonéis";"29173";"29";"53";2138;2220;48,0097261488416;-4,20572916520236
"167";"Plonéour-Lanvern";"29174";"29";"53";6014;4886;47,9049891513047;-4,26441530191193
"168";"Plonévez-du-Faou";"29175";"29";"53";2147;8066;48,2631990278617;-3,82924561077809
"169";"Plonévez-Porzay";"29176";"29";"53";1795;2910;48,1276960393134;-4,24540273088315
"170";"Plouarzel";"29177";"29";"53";3713;4293;48,4390208588462;-4,7349258358953
"171";"Telgruc-sur-Mer";"29280";"29";"53";2120;2825;48,2263862661367;-4,36090304439432
"172";"Tourch";"29281";"29";"53";1014;1986;48,0289009360255;-3,81970301410434
"173";"Trébabu";"29282";"29";"53";347;433;48,369526205873;-4,7339276411434
"174";"Treffiagat";"29284";"29";"53";2430;841;47,8031467397824;-4,26150828304601
"175";"Tréflaouénan";"29285";"29";"53";517;816;48,6262889591302;-4,09657762637249
"176";"Tréflévénez";"29286";"29";"53";261;981;48,4152940197312;-4,17272930223397
"177";"Tréflez";"29287";"29";"53";922;1625;48,6364503483659;-4,26298934634529
"178";"Trégarantec";"29288";"29";"53";560;510;48,5548722874468;-4,28839964510659
"179";"Trégarvan";"29289";"29";"53";143;971;48,2396434634215;-4,22785591748138
"180";"Tréglonou";"29290";"29";"53";620;601;48,5474972219825;-4,54869338792687
"181";"Trégourez";"29291";"29";"53";991;1758;48,1005014697625;-3,87086199139392
"182";"Tréguennec";"29292";"29";"53";320;929;47,8874495711932;-4,33521128143705
"183";"Trégunc";"29293";"29";"53";7056;5110;47,8310226513541;-3,85220286316772
"184";"Tréhou";"29294";"29";"53";618;2319;48,4001490323592;-4,13453011311955
"185";"Trémaouézan";"29295";"29";"53";535;841;48,5093127478838;-4,25429529401485
"186";"Tréméoc";"29296";"29";"53";1303;1165;47,9070304482379;-4,2224096390168
"187";"Tréméven";"29297";"29";"53";2279;1545;47,90314722287;-3,52492196873102
"188";"Tréogat";"29298";"29";"53";563;975;47,9098180134087;-4,33529939539785
"189";"Tréouergat";"29299";"29";"53";319;615;48,4983925809645;-4,60016962038283
"190";"Trévoux";"29300";"29";"53";1558;2090;47,8887659271725;-3,65870687106724
"191";"Trézilidé";"29301";"29";"53";300;450;48,6129327351886;-4,08499870724903
"192";"Ploudalmézeau";"29178";"29";"53";6263;2424;48,5456343408895;-4,6780787159831
"193";"Ploudaniel";"29179";"29";"53";3653;4587;48,5272305695046;-4,31732583177481
"194";"Ploudiry";"29180";"29";"53";905;2775;48,4540963990977;-4,12314528500299
"195";"Plouédern";"29181";"29";"53";2788;1963;48,4851403107815;-4,25592086666761
"196";"Plouégat-Guérand";"29182";"29";"53";1110;1747;48,6227284758021;-3,66527883348379
"197";"Plouégat-Moysan";"29183";"29";"53";670;1497;48,5720588008846;-3,62120811156344
"198";"Plouénan";"29184";"29";"53";2517;3096;48,6212408347045;-3,98804478457506
"199";"Plouescat";"29185";"29";"53";3557;1538;48,6691437146672;-4,19366918589238
"200";"Plouezoc'h";"29186";"29";"53";1590;1593;48,6385097060559;-3,81644665498323
"201";"Plougar";"29187";"29";"53";788;1754;48,5567753187692;-4,13055220600686
"202";"Plougasnou";"29188";"29";"53";3108;3432;48,684026145183;-3,81510723365896
"203";"Plougastel-Daoulas";"29189";"29";"53";13101;4800;48,3560188949868;-4,38141374944789
"204";"Plougonvelin";"29190";"29";"53";3946;1898;48,3446393524354;-4,72227242201878
"205";"Plougonven";"29191";"29";"53";3371;7007;48,5136341318417;-3,73202620600563
"206";"Plougoulm";"29192";"29";"53";1782;1856;48,6522474853021;-4,04791240164351
"207";"Plougourvest";"29193";"29";"53";1392;1416;48,5522680271582;-4,07322124102503
"208";"Plouguerneau";"29195";"29";"53";6411;4480;48,6218037415314;-4,52710655846163
"209";"Plouguin";"29196";"29";"53";2108;3038;48,5265801554847;-4,59448965108541
"210";"Plouhinec";"29197";"29";"53";4106;2824;48,0134348191999;-4,48328366302135
"211";"Plouider";"29198";"29";"53";1972;2356;48,6049214920653;-4,30254413483518
"212";"Plouigneau";"29199";"29";"53";4833;6401;48,5737924126016;-3,70441659704057
"213";"Ploumoguer";"29201";"29";"53";1941;3893;48,3946567515548;-4,72031302048632
"214";"Plounéour-Ménez";"29202";"29";"53";1283;5196;48,451134311494;-3,88450516140748
"215";"Plounéour-Trez";"29203";"29";"53";1249;1160;48,649228822889;-4,32615533324833
"216";"Plounéventer";"29204";"29";"53";2105;2741;48,5216630835547;-4,20821600812353
"217";"Plounévézel";"29205";"29";"53";1223;2436;48,3144026665135;-3,57476332169147
"218";"Plounévez-Lochrist";"29206";"29";"53";2390;3976;48,6278461126085;-4,20146538992985
"219";"Plourin-lès-Morlaix";"29207";"29";"53";4323;4248;48,5230943367627;-3,80069758998493
"220";"Plourin";"29208";"29";"53";1228;2564;48,505876142132;-4,6863257837667
"221";"Plouvien";"29209";"29";"53";3715;3447;48,5363963757081;-4,47258692789663
"222";"Plouvorn";"29210";"29";"53";2813;3530;48,5770499963028;-4,02243244319005
"223";"Plouyé";"29211";"29";"53";712;3755;48,316548233907;-3,74443223505821
"224";"Plouzané";"29212";"29";"53";12175;3314;48,3721842558794;-4,60154460669066
"225";"Plouzévédé";"29213";"29";"53";1793;1833;48,5949902046125;-4,09712834549662
"226";"Plovan";"29214";"29";"53";669;1576;47,9415151496985;-4,34886690517468
"227";"Plozévet";"29215";"29";"53";2959;2761;47,9848160051938;-4,41171060413213
"228";"Pluguffan";"29216";"29";"53";3847;3227;47,9711673538861;-4,18542599502157
"229";"Pont-Croix";"29218";"29";"53";1601;817;48,0463707876806;-4,49804968777945
"230";"Ponthou";"29219";"29";"53";169;136;48,5590297963815;-3,63964011234728
"231";"Pont-l'Abbé";"29220";"29";"53";8304;1872;47,8652122556116;-4,20968956899139
"232";"Port-Launay";"29222";"29";"53";406;190;48,2172234915198;-4,08484672766563
"233";"Pouldergat";"29224";"29";"53";1230;2442;48,0396911520087;-4,32922634908678
"234";"Pouldreuzic";"29225";"29";"53";2132;1684;47,9648045248952;-4,36145388212585
"235";"Poullan-sur-Mer";"29226";"29";"53";1546;3062;48,0783879567874;-4,39613236660607
"236";"Poullaouen";"29227";"29";"53";1335;7185;48,3466466490056;-3,62053068870687
"237";"Primelin";"29228";"29";"53";729;877;48,0261683273254;-4,60383316391563
"238";"Quéménéven";"29229";"29";"53";1134;2807;48,1184224542053;-4,1419462665524
"239";"Querrien";"29230";"29";"53";1737;5440;47,9618342614322;-3,55006521724839
"240";"Quimperlé";"29233";"29";"53";11978;3161;47,8535436684203;-3,55946001940523
"241";"Rédené";"29234";"29";"53";2898;2466;47,8576533538378;-3,49093421808062
"242";"Relecq-Kerhuon";"29235";"29";"53";11323;671;48,4027004159102;-4,39890164977036
"243";"Riec-sur-Bélon";"29236";"29";"53";4111;5464;47,842679320501;-3,69557760334141
"244";"Roche-Maurice";"29237";"29";"53";1929;1204;48,4736454020673;-4,19122054028677
"245";"Roscanvel";"29238";"29";"53";861;953;48,3153236490818;-4,56528706136762
"246";"Roscoff";"29239";"29";"53";3434;642;48,7186459072455;-3,98741542999184
"247";"Rosnoën";"29240";"29";"53";940;3376;48,276557533796;-4,19727825867627
"248";"Saint-Coulitz";"29243";"29";"53";415;1104;48,1766972440498;-4,07166134876534
"249";"Saint-Derrien";"29244";"29";"53";814;1224;48,5467513466505;-4,18149422474528
"250";"Saint-Divy";"29245";"29";"53";1444;848;48,4510610369044;-4,33037434173921
"251";"Saint-Eloy";"29246";"29";"53";222;1259;48,3612417460682;-4,12102287799273
"252";"Saint-Évarzec";"29247";"29";"53";3555;2471;47,9570272937503;-4,00881346572136
"253";"Saint-Frégant";"29248";"29";"53";751;841;48,6033814739474;-4,36912475212684
"254";"Saint-Goazec";"29249";"29";"53";721;3331;48,1522012642637;-3,76058831914566
"255";"Saint-Hernin";"29250";"29";"53";751;2931;48,2109501183236;-3,60588454117067
"256";"Saint-Jean-du-Doigt";"29251";"29";"53";617;2008;48,6682534824177;-3,76462110130464
"257";"Saint-Jean-Trolimon";"29252";"29";"53";1006;1449;47,8709606671098;-4,30882383987432
"258";"Saint-Martin-des-Champs";"29254";"29";"53";4731;1582;48,5717236714526;-3,8579689423067
"259";"Saint-Méen";"29255";"29";"53";869;1209;48,5553466385887;-4,25656932045462
"260";"Saint-Nic";"29256";"29";"53";757;1803;48,2064954402791;-4,2907327039138
"261";"Saint-Pabu";"29257";"29";"53";2060;991;48,5651340706812;-4,62117279487862
"262";"Saint-Pol-de-Léon";"29259";"29";"53";6618;2367;48,6726165012381;-3,98357296095824
"263";"Saint-Renan";"29260";"29";"53";7815;1330;48,4275885412973;-4,62674480258822
"264";"Saint-Rivoal";"29261";"29";"53";170;1903;48,3471241901373;-4,00106587023475
"265";"Saint-Sauveur";"29262";"29";"53";804;1337;48,4498478483566;-4,00009044912001
"266";"Saint-Ségal";"29263";"29";"53";1025;1620;48,2332844812385;-4,0794549421001
"267";"Saint-Servais";"29264";"29";"53";835;1043;48,5163911693169;-4,16018439937409
